epoch,train_loss,val_mean_f1,Intent_f1,AnswerType_f1,CognitiveLevel_f1,QuestionParticleType_f1,QuestionType_f1,Subjectivity_f1,TemporalContext_f1,PurposeContext_f1,List_f1
1,3.6013774758293513,0.5405276652322778,0.3435644071591842,0.37911402677110717,0.4321044051273038,0.6441782162712396,0.767067028283611,0.7760638540478906,0.40666965749515915,0.602789011368204,0.5131983805668017
2,0.7916222004190324,0.8038210105874276,0.869447815401226,0.6914648171700232,0.7876858765576693,0.9980559745265628,0.8823320822491884,0.9224458204334365,0.549143519135212,0.6925120202228867,0.8413011695906433
3,0.22931720777636483,0.8563461623405169,0.9443361568492464,0.7884366700541459,0.8012116812664548,0.9980559745265628,0.8804462834476207,0.9386179857877971,0.6102434327349551,0.8298304999959771,0.9159367764018926
4,0.0038548741667043594,0.8486294440701522,0.95060352853226,0.7232975984812036,0.796023235300564,1.0,0.905965595359171,0.9468539734497181,0.6278615097072433,0.7898598625066102,0.8971996932945991
5,-0.1565519380013621,0.875526116158277,0.9488976606280071,0.8291767510378178,0.8001712030395761,1.0,0.8957534197003691,0.9549163117163597,0.6587715401425859,0.8761113827578844,0.9159367764018926
6,-0.2905820132129722,0.8831495374493293,0.9686846756755572,0.8360856118967525,0.8109915729159606,0.9980559745265628,0.8891277544181342,0.9484567901234567,0.6811716656834312,0.8969299286767933,0.9188418631273152
7,-0.411477594148545,0.8926402068247934,0.9700686590952395,0.8358093968836954,0.8325723198417362,1.0,0.9078671521571224,0.9588844871192284,0.699566497093919,0.9060365374219863,0.9229568118102133
8,-0.5170648367632003,0.8981486062529205,0.9730495868187932,0.8656516775915747,0.8264367226828075,1.0,0.9152016687938298,0.9468539734497181,0.6986182926672162,0.9079634684312103,0.9495620658411357
9,-0.6121624528415619,0.8988939428621886,0.9606081826670062,0.8752157629979525,0.8321721645796446,1.0,0.910707920439153,0.9588844871192284,0.7028943144835867,0.9061140350877193,0.9434486183854073
10,-0.6918257058612884,0.8985675893507525,0.9678464388575524,0.8756357134179029,0.8371568026128035,1.0,0.9130526123492875,0.950906418422342,0.7054691382029512,0.8874791144527986,0.9495620658411357
11,-0.7657895282147422,0.8920503243035051,0.9477919186023236,0.8772448187875134,0.823228106084997,1.0,0.9096320346320346,0.9549163117163597,0.6778467411496137,0.8822275775591468,0.9555654101995565
12,-0.8309401363607437,0.8902429019429248,0.9558127096892042,0.8734515760897948,0.8388738059326295,1.0,0.9027039477546891,0.9549163117163597,0.6814592873379766,0.8554064131245339,0.9495620658411357
13,-0.8883476238402109,0.896817657410733,0.9477919186023236,0.8754779886425232,0.8257946685913543,1.0,0.9114780835881753,0.9588844871192284,0.711494172084578,0.8848721878688582,0.9555654101995565
14,-0.9373784992429945,0.8925726478796212,0.9609121182849621,0.8709068425070371,0.8408978284867455,1.0,0.911217437533227,0.9588844871192284,0.6804219928066196,0.8603510583376355,0.9495620658411357
