epoch,train_loss,val_mean_f1,Intent_f1,AnswerType_f1,CognitiveLevel_f1,QuestionParticleType_f1,QuestionType_f1,Subjectivity_f1,TemporalContext_f1,PurposeContext_f1,List_f1
1,4.1071689412707375,0.2936454116527829,0.04437879374919281,0.06227630637079456,0.2387021254567309,0.41936331642214,0.5015604054959786,0.45305676855895194,0.23677973767526006,0.21239954075774972,0.47429171038824763
2,1.5018833293801261,0.7022076604200785,0.7189514712366353,0.6393999724605636,0.7779623309570036,0.6522276141026616,0.7924758168660608,0.8717193701190629,0.4568774220948134,0.6571425898903731,0.7531123560535326
3,0.4277989330982405,0.8116206926117515,0.8642567371376798,0.6875663950834431,0.7989830192425184,1.0,0.8603578493076784,0.9263668430335097,0.6066172511205623,0.6950927669288189,0.8653453716515525
4,0.18172418649884917,0.8518676989208382,0.8747204759089319,0.8064012548372176,0.809551891716927,1.0,0.8907753707337258,0.9439333915262204,0.6486539881420111,0.8019232442198949,0.8908496732026143
5,0.045252638447674964,0.8737826470354353,0.9649847915537171,0.8119589156308863,0.8041940403363098,0.9980559745265628,0.9002858797133966,0.9518984350189437,0.6612926534024968,0.8393833665204087,0.9319897666161958
6,-0.0467307883359137,0.8845552921655565,0.9656069840274402,0.8555618064827843,0.8152400487480401,1.0,0.9046925945752244,0.9558201058201059,0.6892222377655026,0.8464244941517669,0.9284293579191438
7,-0.12730005529842206,0.8908753332701941,0.9698446606247463,0.8648568425164652,0.813451450159291,1.0,0.9078671521571224,0.9518984350189437,0.6878686015429768,0.8924279093685287,0.9296629480436731
8,-0.19609075160844933,0.8926123819428573,0.9709117388866472,0.8675575297583239,0.817058217139348,1.0,0.9146706586826348,0.9588844871192284,0.6940813725369677,0.8875534290271132,0.9227940043354532
9,-0.25723830243897816,0.8926072074850211,0.9629139445648913,0.868782572915352,0.8166044312787287,1.0,0.9083420717967025,0.9592986757852601,0.6618470700954013,0.9061140350877193,0.9495620658411357
10,-0.30733889814407106,0.8907726357333073,0.9616953733672725,0.8684654775500458,0.8321231799944379,1.0,0.9038709533477611,0.9479364608076009,0.6715898570618688,0.8858475828694715,0.9454248366013072
11,-0.3477228713177499,0.8956568469338494,0.9679559836857675,0.8634271970600597,0.8332265818340833,1.0,0.9212890020064908,0.962811757719715,0.6705383848454636,0.9060365374219863,0.9356261778310776
12,-0.38819876762609634,0.9083001972006084,0.9571490833909966,0.8713443486614217,0.8349989060412032,1.0,0.9170399874689521,0.9666989165515765,0.7686718091294185,0.9083476296178848,0.9504510939440226
13,-0.4236710121234258,0.8986096678446296,0.9668506748983898,0.8760636565287728,0.8255025297310637,1.0,0.910707920439153,0.9597022455888913,0.6945907881697302,0.9086443586443587,0.9454248366013072
14,-0.4513298218685483,0.8936709938104561,0.9676218521907577,0.8729247644523639,0.8417510689027584,1.0,0.9091254971531209,0.9670291100272747,0.637695980215368,0.9064066383924301,0.9404840329600311
15,-0.476940633758666,0.8987724436135751,0.9716804519503064,0.8741400902158208,0.8400157894539917,1.0,0.9141504329004329,0.9588844871192284,0.6759372310624151,0.9087186732186733,0.9454248366013072
16,-0.4969651315893446,0.8967963124341917,0.9619929271859532,0.874159997369982,0.8379588062871369,1.0,0.9128131902456438,0.9588844871192284,0.6726544459066869,0.9112154597838569,0.9414874980092371
17,-0.5134656925996145,0.8994048025149923,0.9725210084033613,0.8767102144924038,0.8349894477902672,1.0,0.9175242595336297,0.962811757719715,0.6734462383103892,0.9112154597838569,0.9454248366013072
