task,true_label,pred_label,confidence
AnswerType,Description,Animate,0.9709546
Intent,Informational,Comparison,0.9539064
List,Single,List,0.9501873
PurposeContext,Problem solving,Decision Making,0.9488813
List,Single,List,0.94628304
AnswerType,Number,Entity,0.9404825
AnswerType,Entity,Animate,0.9390904
AnswerType,Description,Present,0.93824255
CognitiveLevel,Application,Evaluation,0.93392855
AnswerType,Description,Entity,0.93176067
AnswerType,Location,Entity,0.92784667
List,Single,List,0.92440456
AnswerType,Description,Present,0.9224711
PurposeContext,Information Gathering,Problem solving,0.92228997
CognitiveLevel,Application,Evaluation,0.91569555
PurposeContext,Information Gathering,Problem solving,0.9060679
CognitiveLevel,Understanding,Application,0.90426004
CognitiveLevel,Analysis,Application,0.90426004
PurposeContext,Information Gathering,Problem solving,0.89977145
AnswerType,Description,Entity,0.8986078
List,Single,List,0.8984935
TemporalContext,Present,Past,0.8979074
CognitiveLevel,Analysis,Application,0.89692026
CognitiveLevel,Knowledge,Application,0.8925008
Intent,Explanation,Suggestion,0.89207673
CognitiveLevel,Knowledge,Application,0.89044625
TemporalContext,Not Time-Related,Past,0.8818578
List,Single,List,0.876884
AnswerType,Description,Number,0.87615895
PurposeContext,Decision Making,Problem solving,0.8755439
Intent,Explanation,Suggestion,0.873569
Intent,Explanation,Suggestion,0.873569
List,Single,List,0.873345
CognitiveLevel,Analysis,Application,0.87190366
AnswerType,Description,Entity,0.8717313
CognitiveLevel,Application,Analysis,0.86832905
CognitiveLevel,Knowledge,Evaluation,0.862879
TemporalContext,Specific time,Past,0.85497034
PurposeContext,Information Gathering,Problem solving,0.84401447
PurposeContext,Information Gathering,Social interaction,0.84346163
QuestionType,Factual,Non-Factual,0.8433545
QuestionType,Factual,Non-Factual,0.8403456
CognitiveLevel,Analysis,Application,0.8402533
AnswerType,Description,Present,0.8280954
CognitiveLevel,Knowledge,Evaluation,0.823061
List,Single,List,0.8093257
TemporalContext,Not Time-Related,Past,0.8091158
List,Single,List,0.80902165
AnswerType,Description,Present,0.80616945
List,Single,List,0.795389
List,Single,List,0.79476607
PurposeContext,Information Gathering,Decision Making,0.7936373
AnswerType,Description,Number,0.7897767
AnswerType,Description,Entity,0.7863651
AnswerType,Description,Entity,0.77782977
List,Single,List,0.77618766
TemporalContext,Present,Past,0.77597207
PurposeContext,Information Gathering,Problem solving,0.77019966
Intent,Informational,Suggestion,0.76579714
AnswerType,Number,Historical,0.76562846
Subjectivity,Objective,Subjective,0.7572988
QuestionType,Factual,Non-Factual,0.75031114
PurposeContext,Information Gathering,Decision Making,0.7492994
CognitiveLevel,Understanding,Analysis,0.7489455
PurposeContext,Problem solving,Decision Making,0.74438137
List,Single,List,0.74335206
AnswerType,Quantity,Number,0.7398444
List,Single,List,0.72939086
CognitiveLevel,Understanding,Evaluation,0.7249532
AnswerType,Description,Time_Adverb,0.720774
QuestionType,Factual,Non-Factual,0.71994954
Subjectivity,Subjective,Objective,0.7194072
List,Single,List,0.7183228
CognitiveLevel,Understanding,Knowledge,0.71577173
TemporalContext,Not Time-Related,Present,0.71450037
TemporalContext,Not Time-Related,Present,0.71450037
AnswerType,Description,Animate,0.70908576
CognitiveLevel,Understanding,Analysis,0.7080439
QuestionType,Factual,Non-Factual,0.7040942
List,Single,List,0.7024459
QuestionType,Factual,Non-Factual,0.701366
Intent,Suggestion,Explanation,0.6981479
List,Single,List,0.69657093
List,Single,List,0.6927965
CognitiveLevel,Understanding,Analysis,0.6917869
CognitiveLevel,Application,Evaluation,0.6903384
PurposeContext,Social interaction,Information Gathering,0.6876332
QuestionType,Factual,Non-Factual,0.6841184
QuestionType,Factual,Non-Factual,0.68276995
CognitiveLevel,Understanding,Analysis,0.68097085
Intent,Informational,Suggestion,0.6807381
